name,mechanism,0,20,25,50,75,100,Length
vak 23,OVERFLOW,4.742447920483117,4.544898370342857,4.494544606498702,4.236978384680519,3.962311462,3.6658850621298695,577.3865660000001
vak 23,PIPING,5.322244011823751,5.151186485405924,5.11008524509835,4.913594559507718,4.730633548999516,4.559474508226089,577.3865660000001
vak 23,STABILITY_INNER,3.6880503140000815,3.6880503140000815,3.6880503140000815,3.6880503140000815,3.6880503140000815,3.6880503140000815,577.3865660000001
vak 23,Section,3.685568182471403,3.6816449347651283,3.679957438422415,3.6627438963876733,3.6131969529420935,3.4930194226356424,577.3865660000001
vak 24,OVERFLOW,4.635043703532467,4.4333695902857135,4.381560968857143,4.114180199376623,3.827228438000001,3.5192932841038953,554.8927469999999
vak 24,PIPING,5.935574608699366,5.720063016678978,5.66879596894794,5.426265208174139,5.203962528630675,4.998792618561826,554.8927469999999
vak 24,STABILITY_INNER,3.5433962259999383,3.5433962259999383,3.5433962259999383,3.5433962259999383,3.5433962259999383,3.5433962259999383,554.8927469999999
vak 24,Section,3.5410220379393977,3.537263200446183,3.535628511539603,3.5185438707391294,3.4677690746834364,3.343165876619208,554.8927469999999
vak 25,OVERFLOW,5.065881134794806,4.793524619885716,4.7232510755740265,4.358776860509091,3.9602345792000007,3.5247096628363637,1505.7312949999996
vak 25,PIPING,6.332182795494371,6.08310932912609,6.0242692186954825,5.74787523627045,5.497142875857926,5.267709267218073,1505.7312949999996
vak 25,STABILITY_INNER,2.600000000000001,2.600000000000001,2.600000000000001,2.600000000000001,2.600000000000001,2.600000000000001,1505.7312949999996
vak 25,Section,2.5999850272305975,2.5999396371514933,2.5999145076214556,2.599518515231096,2.597252162771975,2.5846969792855248,1505.7312949999996
vak 26,OVERFLOW,4.8194819149090895,4.487331721142856,4.4034552116623376,3.9790388980259728,3.5326116119999984,3.052682187974024,314.41013400000065
vak 26,PIPING,6.4927186981461595,6.250780030106591,6.193534074521199,5.924192448449929,5.679276618970675,5.4547224044427365,314.41013400000065
vak 26,STABILITY_INNER,2.6440251569999997,2.6440251569999997,2.6440251569999997,2.6440251569999997,2.6440251569999997,2.6440251569999997,314.41013400000065
vak 26,Section,2.6439656928789645,2.643727290554797,2.6435852173497247,2.641177006388167,2.6273947007922915,2.5602142252810633,314.41013400000065
vak 27,OVERFLOW,4.933366372966233,4.654228037714285,4.582712159168832,4.214737961246753,3.8235423920000007,3.411027577974025,166.71353199999976
vak 27,PIPING,6.437346617834734,6.251200861335704,6.206611656145385,5.994138404212308,5.797260129332875,5.613853052402666,166.71353199999976
vak 27,STABILITY_INNER,3.392452829999974,3.392452829999974,3.392452829999974,3.392452829999974,3.392452829999974,3.392452829999974,166.71353199999976
vak 27,Section,3.392133292113315,3.3911693027697702,3.3906428869009044,3.3827239062605603,3.344519187738073,3.2072931477694735,166.71353199999976
vak 28,OVERFLOW,4.16812841974026,3.9071627337142867,3.839811005922079,3.490397821506493,3.1093221920000005,2.692652649142857,156.7178640000002
vak 28,PIPING,6.088628114770163,5.8930416269049415,5.84627922365222,5.6238845205108845,5.418406598199979,5.2274527888894395,156.7178640000002
vak 28,STABILITY_INNER,4.002515722999704,4.002515722999704,4.002515722999704,4.002515722999704,4.002515722999704,4.002515722999704,156.7178640000002
vak 28,Section,3.9071666935780365,3.781218610508848,3.7375710553180133,3.457608282081982,3.0995874261213383,2.689708201927292,156.7178640000002
vak 29,OVERFLOW,4.16812841974026,3.9071627337142867,3.839811005922079,3.490397821506493,3.1093221920000005,2.692652649142857,223.0056489999988
vak 29,PIPING,6.158650921187284,5.963422866917597,5.916742395717285,5.694718525276917,5.489557183355424,5.298876792379437,223.0056489999988
vak 29,STABILITY_INNER,3.8767295600000113,3.8767295600000113,3.8767295600000113,3.8767295600000113,3.8767295600000113,3.8767295600000113,223.0056489999988
vak 29,Section,3.814277830396149,3.719954525160006,3.6846665256721884,3.4370052122335903,3.093053924243608,2.687700282584208,223.0056489999988
vak 30,OVERFLOW,4.795883945558441,4.482267722057142,4.399852155927273,3.963711987615584,3.5143593151999997,3.073003899096103,684.1233800000009
vak 30,PIPING,6.662935238445719,6.438983550430255,6.384594233425829,6.124053255201583,5.882944302156177,5.660054346217502,684.1233800000009
vak 30,STABILITY_INNER,3.436477986999978,3.436477986999978,3.436477986999978,3.436477986999978,3.436477986999978,3.436477986999978,684.1233800000009
vak 30,Section,3.4357344683036803,3.4331028193441075,3.43154078443444,3.404388185216928,3.282160265476249,2.9990191792751326,684.1233800000009
vak 31,OVERFLOW,4.603403937038962,4.380332553600001,4.3233713715480535,4.031412214535066,3.7214769184000005,3.3930278033350656,168.82726700000057
vak 31,PIPING,6.5546298850586755,6.314635389207245,6.257759270844028,5.989884447883783,5.746087371758996,5.522506978239119,168.82726700000057
vak 31,STABILITY_INNER,5.235220126006994,5.235220126006994,5.235220126006994,5.235220126006994,5.235220126006994,5.235220126006994,168.82726700000057
vak 31,Section,4.5953008330173875,4.377317456562912,4.321012983334642,4.0307058872321715,3.7212553074581107,3.392949268783867,168.82726700000057
